rule_id,proposed_source,proposed_target,reason,candidate_count,matching_candidate_found,generated_candidate_rule_ids
address_comma,Мария уточни рабочий отчет. После встречи файл остался в архиве.,"Мария, уточни рабочий отчет. После встречи файл остался в архиве.",no_supported_edit,10,False,[]
address_comma,Мария уточни новый документ. Вечером руководитель принял правки.,"Мария, уточни новый документ. Вечером руководитель принял правки.",no_supported_edit,8,False,[]
address_comma,Мария уточни точный план. Затем отдел подготовил справку.,"Мария, уточни точный план. Затем отдел подготовил справку.",no_supported_edit,8,False,[]
address_comma,Мария уточни городской архив. Позже группа обсудила договор.,"Мария, уточни городской архив. Позже группа обсудила договор.",no_supported_edit,8,False,[]
address_comma,Мария уточни утренний выпуск. Утром автор исправил дату.,"Мария, уточни утренний выпуск. Утром автор исправил дату.",no_supported_edit,8,False,[]
address_comma,Мария уточни важный договор. После обеда автор открыл журнал.,"Мария, уточни важный договор. После обеда автор открыл журнал.",no_supported_edit,9,False,[]
address_comma,Мария уточни короткая заметка. Вечером эксперт уточнил маршрут.,"Мария, уточни короткая заметка. Вечером эксперт уточнил маршрут.",no_supported_edit,8,False,[]
address_comma,Мария уточни итоговая таблица. Затем комиссия открыла раздел.,"Мария, уточни итоговая таблица. Затем комиссия открыла раздел.",no_supported_edit,8,False,[]
address_comma,Мария уточни свежая сводка. Позже эксперт согласовал таблицу.,"Мария, уточни свежая сводка. Позже эксперт согласовал таблицу.",no_supported_edit,8,False,[]
address_comma,Мария уточни открытая заявка. Утром секретарь проверил папку.,"Мария, уточни открытая заявка. Утром секретарь проверил папку.",no_supported_edit,8,False,[]
address_comma,Мария уточни письменный ответ. После встречи эксперт закрыл заявку.,"Мария, уточни письменный ответ. После встречи эксперт закрыл заявку.",no_supported_edit,9,False,[]
address_comma,Мария уточни подробная справка. Вечером аналитик сверил письмо.,"Мария, уточни подробная справка. Вечером аналитик сверил письмо.",no_supported_edit,8,False,[]
address_comma,Мария уточни районная комиссия. Затем эксперт согласовал список.,"Мария, уточни районная комиссия. Затем эксперт согласовал список.",no_supported_edit,8,False,[]
address_comma,Мария уточни финальный список. Позже аналитик отправил сводку.,"Мария, уточни финальный список. Позже аналитик отправил сводку.",no_supported_edit,8,False,[]
address_comma,Мария уточни новая редакция. Утром эксперт обновил протокол.,"Мария, уточни новая редакция. Утром эксперт обновил протокол.",no_supported_edit,8,False,[]
