rule_id,activation_stage,production_ready,atomic_positive_count,hard_negative_count,candidate_recall,gold_count,ready_for_full_build,main_blocker,top_rejection_reason,recommended_next_action,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,corpus_mined_share,rule_lab_share,corpus_mined_hard_negative_count,rule_lab_hard_negative_count,unique_source_count,unique_target_count,unique_left_context_count,unique_right_context_count,unique_sentence_pattern_count,dominant_template_share,dominant_source_type_share,near_duplicate_count,structural_diversity_status,structural_diversity_reason
abbreviation_case_protection,validator_dependent,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
address_comma,production_ready,True,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
apposition_comma,threshold_calibration,False,38,0,1.0,38,False,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping,0,0,0,38,0,0.0,0.0,0,0,38,38,31,38,36,0.02631578947368421,1.0,0,warning,"low_unique_left_contexts,low_unique_right_contexts"
asyndetic_dash,needs_training,False,0,0,0.0,0,False,non_atomic_edit_count,non_atomic_edit_count,fix_operator_or_miner_to_generate_atomic_edits,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
bracket_pair_balance,threshold_calibration,False,0,0,0.0,0,False,target_quality_failed,target_quality_failed,fix_template_or_context_quality,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
capitalization_sentence_start,validator_dependent,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
clarification_comma,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
comma_conjunction,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
comma_subordinate,production_ready,True,1119,0,1.0,1119,False,hard_negative_count_under_min,candidate_missing,add_hard_negative_miner_or_templates,0,1119,0,0,0,0.0,0.0,0,0,1119,1026,1051,1116,958,0.002680965147453083,1.0,93,ok,
comparative_turnover_comma,production_ready,True,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
